time (s),motor position (nm),sensor position (nm)
5.792603766,25829673,9302
5.797715746,25879090,531
5.802554593,25929257,2974
5.80747749,25979697,5151
5.812537132,26030179,12354
5.817432109,26080353,626
5.822448949,26130263,577
5.827561607,26179763,-816
5.832536452,26230373,-1439
5.837576401,26280236,5971
5.84261079,26330466,2977
5.847534624,26380684,2876
5.85284336,26429815,3843
5.857714941,26480965,2023
5.862531114,26530720,-1209
5.867618341,26580497,2996
5.872447271,26630304,4829
5.877682697,26680000,2077
5.882403514,26729319,4557
5.8875523770000004,26780609,4722
5.892437736,26829487,3190
5.897556995,26879649,5481
5.902683946,26929020,4747
5.907609554,26977703,2761
5.9125477,27025757,3228
5.917679273,27049182,4043
5.92246072,26894199,3992
5.927381046,27064394,3499
5.9326481300000005,27186864,2477
5.937434809,27262104,2851
5.942421223,27320164,2552
5.947523996,27373477,1410
5.952480072,27425675,4945
5.95768082,27475281,5490
5.962636216,27526993,2977
5.967529634,27578195,1813
5.972409593,27628014,3754
5.977462107,27678887,3535
5.982555559,27727821,3950
5.987472894,27778316,4735
5.99270649,27828431,4950
5.9976618120000005,27880058,4351
6.002508028,27929737,2773
6.007457004,27978969,3849
6.012468892,28030544,3923
6.017584724,28079252,2515
6.022499294,28130010,1432
6.027431266,28180172,2931
6.032752896,28230465,2697
6.037654954,28279825,3264
6.042499349,28330454,2987
6.04749333,28380361,5212
6.052388366,28429558,3149
6.057475675,28479598,3249
6.062533446,28530329,3848
6.067413616,28579704,4008
6.072593302,28630073,4696
6.077731958,28680373,4109
6.082629252,28729352,4418
6.087639841,28779041,4152
6.09266683,28828667,4842
6.0975668259999996,28878272,3876
6.1026104310000004,28926203,3403
6.107619363,28948634,3249
6.112499042,28793527,4448
6.117395016,28964541,3438
6.122708562,29088536,1984
6.127636892,29162668,3797
6.132422269,29220585,4245
6.137649883,29273388,5185
6.142433379,29325267,3214
6.147463863,29375707,5677
6.152705914,29426298,5361
6.157370131,29477356,4097
6.162362366,29527811,3545
6.167698108,29578784,3986
6.17249588,29629311,4072
6.177419758,29678252,4712
