time (s),force (N)
4.432188398,-1.5576171875
4.436925978,-1.57279968262
4.441942626,-1.55731201172
4.446896917,-1.55769348145
4.452309012,-1.56471252441
4.456969915,-1.55715942383
4.461961447,-1.55555725098
4.466891778,-1.55624389648
4.47204781,-1.5552520752
4.476904104,-1.56112670898
4.4819354,-1.55578613281
4.48697202,-1.55494689941
4.491891862,-1.55731201172
4.49700661,-1.55609130859
4.501993393,-1.58752441406
4.506929112,-1.55693054199
4.512102042,-1.55563354492
4.516886826,-1.5567779541
4.521988734,-1.55639648438
4.526937038,-1.55120849609
4.531864402,-1.55578613281
4.536899415,-1.55731201172
4.542025123,-1.5559387207
4.546931131,-1.55662536621
4.5523237309999995,-1.54762268066
4.556945321,-1.55693054199
4.561883082,-1.55662536621
4.566950844,-1.54563903809
4.572130117,-1.5576171875
4.576991906,-1.55258178711
4.581995449,-1.55586242676
4.586873871,-1.55708312988
4.592092722,-1.50581359863
4.597015812,-1.55715942383
4.601930969,-1.55479431152
4.607011763,-1.55715942383
4.612039268,-1.55654907227
4.616909757,-1.49559020996
4.6219185849999995,-1.5567779541
4.626984039,-1.55662536621
4.631998229,-1.55632019043
4.636908179,-1.55769348145
4.641980642,-1.57119750977
4.647051061,-1.55609130859
4.651958795,-1.55601501465
4.6568912749999996,-1.55776977539
4.66191248,-1.55578613281
4.666954005,-1.55639648438
4.671949883,-1.55769348145
4.676922782,-1.55532836914
4.6818986129999995,-1.57730102539
4.687012317,-1.55693054199
4.692281696,-1.55601501465
4.696951574,-1.55769348145
4.70196286,-1.55700683594
4.706932193,-1.52435302734
4.711954548,-1.55784606934
4.716872117,-1.55578613281
4.721899683,-1.55502319336
4.726809837,-1.55647277832
4.731877445,-1.54144287109
4.736919415,-1.55616760254
4.741972519,-1.55654907227
4.746959965,-1.59698486328
4.751998831,-1.55624389648
4.757011948,-1.55792236328
4.761906518,-1.55647277832
4.766951147,-1.55723571777
4.772106649,-1.59851074219
4.776884495,-1.55601501465
4.781862658,-1.55982971191
4.7869351909999995,-1.55517578125
4.792206823,-1.55738830566
4.796861229,-1.5625
4.801826956,-1.55624389648
4.806887328,-1.55700683594
4.812011976,-1.55654907227
4.816890194,-1.55784606934
4.821885924,-1.53739929199
4.826903102,-1.55647277832
4.831985292,-1.55517578125
4.837032715,-1.5550994873
4.84188873,-1.55548095703
4.846953751,-1.55693054199
4.851903431,-1.55578613281
4.856869443,-1.55708312988
4.861992886,-1.49482727051
4.866940096,-1.55616760254
4.872118052,-1.55822753906
4.876972802,-1.55624389648
4.881976887,-1.55555725098
4.886872421,-1.55433654785
4.891906369,-1.55708312988
4.896873899,-1.55776977539
4.90194678,-1.54403686523
4.906890534,-1.55708312988
4.912069252,-1.55242919922
4.91701468,-1.55639648438
4.921885673,-1.5567779541
4.926878355,-1.57737731934
4.932572634,-1.55624389648
4.936932651,-1.55792236328
4.941970665,-1.55700683594
4.946952186,-1.5550994873
4.952329017,-1.58386230469
4.9569200989999995,-1.55624389648
4.961899447,-1.55632019043
4.966922038,-1.55601501465
4.972117859,-1.55532836914
4.976891395,-1.5592956543
4.981905964,-1.55662536621
4.9868930460000005,-1.55715942383
4.991921765,-1.6040802002
4.996954105,-1.55632019043
5.001936094,-1.55372619629
5.00686494,-1.55776977539
5.011908717,-1.55647277832
5.016917155,-1.57722473145
5.021832516,-1.55685424805
5.026837451,-1.55746459961
5.031980295,-1.55586242676
5.03689787,-1.55708312988
5.041931877,-1.55738830566
5.046924572,-1.55548095703
5.052132275,-1.55624389648
5.056919897,-1.55860900879
5.061871965,-1.55700683594
5.066913444,-1.5608215332
5.071888101,-1.5576171875
5.076920436,-1.55616760254
5.082012418,-1.5357208252
5.086887604,-1.55639648438
5.091915221,-1.55639648438
5.096917142,-1.55693054199
5.101912946,-1.55601501465
5.106870366,-1.5803527832
5.111876114,-1.55700683594
5.116834514,-1.55838012695
5.121873288,-1.5559387207
5.1270509,-1.55532836914
5.13201709,-1.58432006836
5.137050211,-1.55662536621
5.141928805,-1.55662536621
5.146939489,-1.55654907227
5.152291621,-1.55563354492
5.156940742,-1.53991699219
5.161943501,-1.55693054199
5.166886595,-1.55632019043
5.172037884,-1.55563354492
5.176937942,-1.55616760254
5.181997258,-1.54350280762
5.186907414,-1.55624389648
5.191937256,-1.55502319336
5.196948463,-1.5909576416
5.201882022,-1.55746459961
5.206958319,-1.55792236328
5.212006607,-1.55769348145
5.216976418,-1.55578613281
5.221985262,-1.51138305664
5.226915774,-1.5559387207
5.231909751,-1.55784606934
5.23689653,-1.55586242676
5.241967136,-1.55647277832
5.246883312,-1.55838012695
5.251874875,-1.55616760254
5.257011385,-1.55776977539
5.2619296779999996,-1.55746459961
5.26698068,-1.55555725098
5.27196956,-1.5633392334
5.276903637,-1.55609130859
5.281963965,-1.55685424805
5.286934001,-1.55303955078
5.292187256,-1.55731201172
5.296924886,-1.55052185059
5.301948747,-1.55632019043
5.306979248,-1.55563354492
5.312002066,-1.59736633301
5.316955571,-1.55822753906
5.321936092,-1.56410217285
5.326978165,-1.55715942383
5.331947069,-1.55601501465
5.336907568,-1.56684875488
5.3419705650000004,-1.55609130859
5.346926323,-1.55815124512
5.352162999,-1.55555725098
5.356978032,-1.55776977539
5.361901168,-1.50535583496
5.366919688,-1.55662536621
5.372003809,-1.55616760254
5.376942221,-1.55708312988
5.381886235,-1.5567779541
5.386852073,-1.59645080566
5.391892539,-1.55540466309
5.396848044,-1.55891418457
5.401850919,-1.55700683594
5.40689247,-1.55578613281
5.412085492,-1.57333374023
5.416963048,-1.55632019043
5.421972746,-1.55731201172
5.426950546,-1.55647277832
5.431918572,-1.55654907227
5.43691485,-1.57623291016
5.441884646,-1.55563354492
5.446912856,-1.55616760254
5.4518661139999995,-1.55647277832
5.456902468,-1.55616760254
5.461911949,-1.56044006348
5.466943191,-1.55662536621
5.471941091,-1.55700683594
5.476938819,-1.54792785645
5.481974518,-1.55578613281
5.487019033,-1.56509399414
5.491923847,-1.55776977539
5.49692412,-1.55769348145
5.5018365970000005,-1.5934753418
5.506876691,-1.55616760254
5.512149004,-1.55982971191
5.516929911,-1.55647277832
5.5219308080000005,-1.55616760254
5.526858708,-1.60133361816
5.531913967,-1.5552520752
5.5369658059999995,-1.55776977539
5.541901226,-1.55700683594
5.546900364,-1.5559387207
5.551937541,-1.56951904297
5.556935829,-1.55624389648
5.561890333,-1.55731201172
5.56693635,-1.5559387207
5.572083862,-1.5567779541
5.576907725,-1.56814575195
5.581961435,-1.55769348145
5.586923886,-1.55746459961
5.591919571,-1.59851074219
5.596930069,-1.55700683594
5.6018969290000005,-1.55120849609
5.607034146,-1.55639648438
5.612036936,-1.55624389648
5.616983085,-1.52290344238
5.6218822710000005,-1.55403137207
5.626900952,-1.55723571777
5.632266129,-1.55639648438
5.636897107,-1.55548095703
5.641966617,-1.54357910156
5.647020682,-1.55715942383
5.652104645,-1.55708312988
5.656964581,-1.55601501465
5.6619676519999995,-1.55616760254
5.666907546,-1.55708312988
5.671969874,-1.55723571777
5.677005218,-1.55570983887
5.681982062,-1.57806396484
5.686849998,-1.55570983887
5.69188108,-1.55738830566
5.696929513,-1.55624389648
5.701914437,-1.55769348145
5.707004188,-1.5119934082
5.71215855,-1.55838012695
5.716878359,-1.55517578125
5.7219545069999995,-1.55601501465
5.726971599,-1.55693054199
5.732083696,-1.55181884766
5.737009647,-1.55601501465
5.742031127,-1.55624389648
5.7470370509999995,-1.57943725586
5.752007807,-1.55639648438
5.756967352,-1.55570983887
5.761923751,-1.55715942383
5.766868019,-1.55708312988
5.771922579,-1.52877807617
5.776957613,-1.55715942383
5.78197443,-1.5576171875
5.786928684,-1.54579162598
5.791979149,-1.55700683594
5.796885384,-1.56455993652
5.801900064,-1.55693054199
5.806885763,-1.5567779541
5.811925536,-1.52153015137
5.8169061939999995,-1.55662536621
5.821880635,-1.55494689941
5.826886201,-1.55624389648
5.831870854,-1.55548095703
5.836885293,-1.54396057129
5.841931925,-1.55632019043
5.846945446,-1.55624389648
5.852241394,-1.52809143066
5.856973003,-1.55792236328
5.861936936,-1.55319213867
5.866949651,-1.55693054199
5.872034793,-1.55738830566
5.876894126,-1.58386230469
5.8819233650000005,-1.55693054199
5.886910981,-1.55654907227
5.891932249,-1.55220031738
5.896932659,-1.55693054199
5.901954763,-1.54991149902
5.906892672,-1.55769348145
5.9119744149999995,-1.55639648438
5.916902319,-1.61552429199
5.921899039,-1.55792236328
5.9268618,-1.55769348145
5.931933113,-1.55769348145
5.9369606489999995,-1.55601501465
5.941876525,-1.56616210938
5.946880007,-1.5567779541
5.952140157,-1.55578613281
5.956933252,-1.55662536621
5.961927895,-1.55586242676
5.966920904,-1.5633392334
5.971947578,-1.55616760254
5.976908203,-1.55876159668
5.981898768,-1.5673828125
5.986873611,-1.55586242676
5.992227232,-1.55426025391
5.9970012950000005,-1.5576171875
6.00198744,-1.5567779541
6.006922083,-1.5746307373
6.011880907,-1.55738830566
6.016890952,-1.5552520752
6.021893827,-1.55784606934
6.026940537,-1.55624389648
6.032009604,-1.57264709473
6.036994808,-1.55830383301
6.042010322,-1.55738830566
6.046954255,-1.5650177002
6.051939745,-1.55570983887
6.0569307,-1.55578613281
6.061891199,-1.55708312988
6.066948696,-1.55647277832
6.072479637,-1.59957885742
6.076883612,-1.55708312988
6.08192633,-1.55807495117
6.086965419,-1.55624389648
6.092134452,-1.55624389648
6.096972644,-1.57943725586
6.101935588,-1.5567779541
6.106930363,-1.55555725098
6.111892402,-1.54968261719
6.116917306,-1.55685424805
6.121934461,-1.54930114746
6.126976959,-1.55769348145
6.132033352,-1.55647277832
6.136984673,-1.52320861816
6.141987219,-1.55647277832
6.14697379,-1.55586242676
6.15193208,-1.55670166016
6.1568772,-1.55670166016
6.161841571,-1.54373168945
6.166931375,-1.55632019043
6.171946961,-1.55624389648
6.176915752,-1.56585693359
6.181903445,-1.5559387207
6.186947945,-1.5559387207
6.19189893,-1.55723571777
6.196938309,-1.55738830566
6.201914111,-1.53259277344
6.206906706,-1.55654907227
6.211865426,-1.55609130859
6.216900945,-1.55639648438
6.221920981,-1.55616760254
6.226962587,-1.55586242676
6.2320655,-1.55670166016
6.236949731,-1.55609130859
6.2419183,-1.50367736816
6.246948878,-1.55784606934
